ID,cluster_kmeans_features,cluster_hierarchical,cluster_kmeans_ts,cluster_dbscan
22,2,0,1,0
42,1,1,0,0
56,2,1,0,0
58,2,0,0,0
64,2,0,1,0
88,1,1,0,0
95,2,0,0,0
163,2,1,1,0
198,2,1,1,0
202,2,0,1,0
209,2,0,1,0
218,2,0,0,0
223,1,1,0,0
228,2,0,1,0
245,2,0,1,0
246,2,0,1,0
322,2,0,1,0
325,2,0,1,0
342,2,0,1,0
344,2,0,1,0
352,2,0,0,0
358,2,0,1,0
362,1,1,0,0
451,2,0,1,0
471,2,0,0,0
474,2,0,0,0
500,1,1,0,0
518,2,0,1,0
519,2,0,0,0
545,2,0,0,0
559,2,0,1,0
602,2,0,1,0
604,2,0,0,0
611,2,0,1,0
618,1,1,0,0
635,2,0,0,0
654,1,1,0,0
664,2,0,0,0
675,2,0,1,0
720,2,0,1,0
728,2,0,1,0
774,2,1,0,0
804,2,0,1,0
810,1,1,0,0
823,2,0,0,0
827,2,0,1,0
841,2,1,0,0
860,2,0,1,0
871,1,1,0,0
873,2,1,0,0
885,2,0,1,0
890,1,1,0,0
895,2,0,1,0
896,0,0,1,0
901,2,0,1,0
903,2,0,1,0
965,2,0,0,0
989,2,0,0,0
992,2,0,0,0
1001,1,1,0,0
1013,2,0,1,0
1019,2,0,1,0
1029,2,0,0,0
1035,2,1,0,0
1091,2,0,1,0
1099,2,0,1,0
1109,2,0,1,0
1118,2,0,1,0
1124,2,0,0,0
1154,2,0,0,0
1169,2,0,1,0
1180,1,1,0,0
1185,2,0,1,0
1195,2,1,1,0
1199,2,0,1,0
1216,2,0,0,0
1224,2,0,1,0
1236,1,1,1,0
1248,2,0,0,0
1258,2,1,1,0
1271,2,1,1,0
1383,2,0,1,0
1410,2,0,1,0
1420,2,0,1,0
1423,2,0,1,0
1432,2,1,1,0
1441,2,0,1,0
1451,2,0,1,0
1467,2,0,0,0
1501,2,0,0,0
1507,2,0,1,0
1518,2,0,0,0
1526,2,0,1,0
1530,2,0,0,0
1531,2,0,1,0
1548,2,0,1,0
1563,2,1,1,0
1566,1,1,0,0
1567,2,0,0,0
1577,0,0,1,0
1580,2,1,1,0
1596,2,0,1,0
1640,0,2,1,0
1645,2,0,1,0
1648,2,0,1,0
1653,2,0,1,0
1685,2,0,1,0
1687,1,1,1,0
1691,1,1,0,0
1708,2,0,1,0
1710,2,1,1,0
1732,2,0,1,0
1739,2,0,1,0
1745,2,0,1,0
1768,2,0,0,0
1786,2,0,1,0
1788,0,2,1,0
1803,2,0,0,0
1810,2,0,1,0
1812,2,1,1,0
1820,1,1,0,0
1834,2,0,1,0
1841,2,0,1,0
1853,2,0,1,0
1858,2,0,1,0
1861,2,0,1,0
1892,2,0,1,0
1893,2,0,0,0
1906,1,1,0,0
1907,2,0,1,0
1910,1,0,0,0
1923,2,0,1,0
1957,1,1,0,0
1959,2,0,1,0
1979,2,0,1,0
1981,2,0,1,0
1998,1,1,0,0
2002,2,0,1,0
2064,0,2,1,-1
2102,2,0,0,0
2111,2,0,0,0
2115,2,0,0,0
2194,2,0,1,0
2219,2,0,0,0
2220,2,1,1,0
2233,1,1,0,0
2246,2,0,0,0
2252,1,1,0,0
2313,1,1,0,0
2319,2,0,1,0
2341,2,0,1,0
2346,2,0,1,0
2374,2,0,0,0
2433,2,0,0,0
2453,2,0,1,0
2466,2,0,0,0
2467,1,1,0,0
2495,1,1,0,0
2497,2,0,0,0
2506,1,1,1,0
2516,2,0,1,0
2537,2,0,0,0
2550,2,0,0,0
2551,2,1,1,0
2586,2,1,0,0
2596,2,0,1,0
2599,1,1,0,0
2609,2,0,0,0
2614,2,0,1,0
2615,2,0,1,0
2621,2,0,0,0
2641,1,1,0,0
2678,2,0,1,0
2693,2,0,1,0
2699,2,0,1,0
2748,2,0,1,0
